Corrente (I)	Tensão (V)
(0.4+0.8j)	(0.5199999999999999+0.6400000000000001j)
(1.0588235294117647+0.23529411764705863j)	(0.7552941176470589+1.5811764705882354j)
(0.5103448275862069-0.00919540229885057j)	(0.9667883705206222+1.9857741717376607j)
(0.4049494187471285-0.004280250708847212j)	(1.1321923385865513+2.3080216064518244j)
(0.3479128040620581-0.0026411315768161345j)	(1.2734703654728274+2.5852953970707446j)
(0.31035229210134746-0.001847198257413172j)	(1.3990890409192969+2.8328383514488573j)
(0.2830882062533949-0.0013888519319718133j)	(1.5134354049662322+3.0587533756787844j)
(0.26208625975656236-0.0010950132023961135j)	(1.619145919430774+3.2679843782030757j)
(0.2452416141898921-0.0008929177046508868j)	(1.7179568992704515+3.463820502473129j)
(0.2313291902222728-0.0007466962139502206j)	(1.8110859323305208+3.6485851761653674j)
(0.21957915087589722-0.0006367643081922949j)	(1.8994270041274335+3.8239937911428084j)
(0.20947934281344324-0.0005515907107808039j)	(1.9836600138214355+3.9913566291092506j)
(0.20067363645791722-0.000483978684390655j)	(2.064316651352115+4.151701946801828j)
(0.19290547905172317-0.000429223359312661j)	(2.1418222216602545+4.305854640699482j)
(0.18598461982705172-0.00038413009852966657j)	(2.216523373669899+4.454488684521712j)
(0.1797665217481104-0.0003464601329750091j)	(2.288707150475523+4.5981633178670105j)
(0.17413910220431333-0.000314602050340214j)	(2.358614472997521+4.737348758810325j)
(0.1690139007383097-0.00028736908557229225j)	(2.426449928561303+4.8724449317667435j)
(0.1643200236630521-0.00026386964647119495j)	(2.4923890337437005+5.0037954028385965j)
(0.15999988771603316-0.00024342211427041694j)	(2.55658372652153+5.1316979441657145j)
(0.15600616237385476-0.00022549730138407114j)	(2.619166589312179+5.256412675144245j)
(0.15229953066630625-0.0002096786875385146j)	(2.6802541445287322+5.378168428202274j)
(0.1488470211626424-0.000195634376668916j)	(2.7399494604951244+5.49716779138172j)
(0.14562074631646574-0.00018309695674204282j)	(2.7983442365871043+5.613591149652196j)
(0.142596934965498-0.00017184879671408639j)	(2.855520489610675+5.727599958105909j)
(0.1397551811168579-0.00016171115272297935j)	(2.9115519309795963+5.839339418538306j)
(0.13707785403039235-0.0001525359872803664j)	(2.9665051013815775+5.948940687367708j)
(0.13454963015402988-0.00014419974986259765j)	(3.0204403132430797+6.056522711590987j)
(0.13215711820438833-0.00013659859507358886j)	(3.0734124394008937+6.162193766716468j)
(0.12988855622453901-0.00012964466777959667j)	(3.125471577624933+6.266052753828988j)
(0.1277335648197163-0.00012326318938070434j)	(3.176663614104324+6.368190300409009j)
(0.125682944646519-0.0001173901520919265j)	(3.227030704084605+6.468689700065387j)
(0.12372850906211436-0.00011197047926713223j)	(3.2766116840928645+6.567627719123372j)
(0.12186294493196342-0.00010695654626068222j)	(3.3254424273026584+6.665075292450439j)
(0.12007969615694412-0.00010230698261705228j)	(3.3735561513515298+6.761098126582947j)
(0.11837286565909777-9.79856955540588e-05j)	(3.420983686171612+6.855757224832004j)
(0.11673713246215821-9.396106883263956e-05j)	(3.4677537080115415+6.949109346374198j)
(0.11516768119165327-9.020530161614968e-05j)	(3.5138929447294958+7.041207409206874j)
(0.11366014185236024-8.669385981153419e-05j)	(3.559426356558289+7.132100845144837j)
